author,date,outlet,title,language,link,icon,comment,pic,video,e-paper,audio,audio2
,5-Jun-24,regionews.at,Salzburg: Neue Fakultät zu Digitalisierung an Uni Salzburg auf der Erfolgsspur,German,https://www.regionews.at/newsdetail/Neue_Fakultaet_zu_Digitalisierung_an_Uni_Salzburg_auf_der_Erfolgsspur-578878,text,,,,,,
Marius Holzer,4-Jun-24,ORF Salzburg,Salzburg Heute,German,,video,,,,,,
Anton Prlić,4-Jun-24,Salzburger Nachrichten,Neue Fakultät an Universität Salzburg: Digitale Wissenschaften als Brücke zur Wirtschaft,German,https://www.sn.at/salzburg/politik/neue-fakultaet-universitaet-salzburg-digitale-wissenschaften-bruecke-wirtschaft-159529531,text,,,,,,
Franz Wieser,4-Jun-24,Land Salzburg,Digitalisierung,German,https://youtu.be/wyTQH2IXVkE?si=N3AZUE9JVScYjarG,video,,,https://youtu.be/wyTQH2IXVkE?si=N3AZUE9JVScYjarG,,,
,4-Jun-24,Land Salzburg,Neue Fakultät zu Digitalisierung an Uni Salzburg auf der Erfolgsspur,German,https://service.salzburg.gv.at/lkorrj/detail?nachrid=70065,text,,,,,,
Sabine Salzmann,4-Jun-24,Kronen Zeitung,Big Data wächst an der Universität Salzburg,German,https://www.krone.at/3403177,text,,,,,,
Claudia Lagler,6-Apr-24,Die Presse,Streaming: Wie Musik-Empfehlungen fairer werden könnten,German,https://www.diepresse.com/18337935/streaming-wie-musik-empfehlungen-fairer-werden-koennten,text,,,,,,
Clemens Panagl,2-Apr-24,Salzburger Nachrichten,"Streamingdienste und ihre Musikempfehlungen: Wer bestimmt, was wir hören?",German,https://www.sn.at/kultur/musik/wer-156041971,text,,,,,,
Clemens Panagl,6-Mar-24,Salzburger Nachrichten,Karajan Music Tech Conference: Mit Rasanz in Richtung Musik-Zukunft,German,https://www.sn.at/kultur/musik/mit-rasanz-musik-zukunft-154541926,text,,,,,,
Hannah Mauracher,4-Mar-24,Salzburger Nachrichten,"Frauenmangel in MINT: ""Noch immer ein Problem mit Geschlechterklischees""",German,https://www.sn.at/leben/karriere/frauenmangel-mint-noch-problem-geschlechterklischees-154469107,text,"Journal Bildung, p 10-12",,,,,
,2-Dec-23,Salzburger Nachrichten,Acht neue Professuren an der Paris Lodron Universität Salzburg,German,../pdfs/20231202_salzburgernachrichten_p12.pdf,text,"2023-12-02, p 12",,,,,
Christine Bauer & Johannes Zeller,1-Aug-23,ZEITGEISTER – The Cultural Magazine of the Goethe-Institut,Show me what you hear,English,https://www.goethe.de/prj/zei/en/art/24964485.html,text,,,,,,
Christine Bauer & Johannes Zeller,1-Aug-23,ZEITGEISTER – Das Kulturmagazin des Goethe-Instituts,"Zeig' mir, was du hörst",German,https://www.goethe.de/prj/zei/de/art/24964485.html,text,,,,,,
Daniel Nagel,31-May-23,Backstage PRO,Das Future Music Camp 2023 an der Popakademie diskutiert Chancen und Risiken von KI,German,https://www.backstagepro.de/thema/das-future-music-camp-2023-an-der-popakademie-diskutiert-chancen-und-risiken-von-ki-2023-05-31-ZDlYdcHXKM,text,,,,,,
Gereon Hoffmann,25-May-23,DIE RHEINPFALZ,„Bekanntes wird noch bekannter“: Christine Bauer forscht über Künstliche Intelligenz in der Musikbranche,German,"https://www.rheinpfalz.de/lokal/ludwigshafen_artikel,-bekanntes-wird-noch-bekannter-christine-bauer-forscht-über-künstliche-intelligenz-in-der-musikbra-_arid,5510181.html",text,,,,,,
Florian Endres,12-May-23,Backstage PRO,"""Algorithmen beeinflussen, was User tatsächlich hören"": Christine Bauer (Universität Salzburg) über KI, Empfehlungsalgorithmen und deren Auswirkungen auf Musiker/innen",German,https://www.backstagepro.de/thema/christine-bauer-universitaet-salzburg-ueber-ki-empfehlungsalgorithmen-und-deren-auswirkungen-auf-musiker-innen-2023-05-12-GJ1ZbMgtLL,text,,,,,,
Jarryd Willis,20-Feb-23,Medium,🎵The Gender Play Gap,English,https://drjarryd.medium.com/the-gender-play-gap-fdbf39d14c6a,text,,,,,,
Christine Bauer,30-Sep-22,CHI Nederland,CHI NL Read: Conformity Effect Across Cultures,English,https://chinederland.nl/2022/09/chi-nl-read-conformity-effect-across-cultures/,text,CHI Nederland features this work in September 2022,,,,,
,15-Aug-22,Recsperts Podcast,"Music Recommender Systems, Fairness and Evaluation with Christine Bauer",English,https://www.recsperts.com/episodes/8-music-recommender-systems-fairness-and-evaluation-with-christine-bauer,audio,,,,,,
Christine Bauer,1-Feb-22,Turning Magazine,Music recommendations: and I still haven't found what I'm looking for,English,,text,edition 2021-2,,,,,
Jarryd Willis,22-Feb-22,Medium,Most Cars Are Women,English,https://drjarryd.medium.com/most-cars-are-women-eb60f06d5eac,text,,,,,,
Andrew Anderson,14-Jan-22,Loud And Quiet,"Man, what a song: how algorithms reinforce music’s gender imbalance",English,https://www.loudandquiet.com/short/man-what-a-song-how-algorithms-reinforce-musics-gender-imbalance/,text,Issue 150 – Special Anniversary Edition,,,,,
Kajal Gupta,21-Dec-21,hitechwiki.com,Which services pay artists the best?,English,https://hitechwiki.com/which-services-pay-artists-the-best/,text,,,,,,
Jean-Yves Alric,19-Dec-21,Presse-Citron,"Spotify, Apple Music : quels services rémunèrent le mieux les artistes?",French,https://www.presse-citron.net/spotify-apple-music-quels-services-remunerent-le-mieux-les-artistes/,text,,,,,,
Friso Wiersum & Rosa Wevers,7-Oct-21,IMPAKT TV,Music and algorithms: IMPAKT TV with Wilbert Mutsaers and Christine Bauer,English,https://impakt.nl/events/2021/impakt-tv/music-and-algorithms/,video,"Panel discussion on Music and Algorithms hosted by IMPAKT TV in scope of Dutch Media Week 2021, Hilversum, The Netherlands & online",,https://youtu.be/lTB7Ut7KPZY,,,
Christoph Drösser,21-Jul-21,ada Magazin,Falsche Freunde ,German,https://ada-magazin.com/de/empfehlungsalgorithmen,text,,,,,,
,10-Jul-21,NuevoPeriodico,Cómo Spotify siempre encuentra tu canción favorita,Spanish,https://nuevoperiodico.com/como-spotify-siempre-encuentra-tu-cancion-favorita/,text,Translation from NEMO Kennislink,,,,,
,9-Jul-21,tekdeeps,How Spotify always finds your favorite song,English,https://tekdeeps.com/how-spotify-always-finds-your-favorite-song/,text,Translation from NEMO Kennislink,,,,,
Roel van der Heijden,9-Jul-21,NEMO Kennislink,De dj is een algoritme: Hoe Spotify steeds jouw favoriete nummer vindt,Dutch,https://www.nemokennislink.nl/publicaties/de-dj-is-een-algoritme/,text,,,,,,
Raquel Carneiro & Amanda Capuano,2-Jul-21,Veja,Algoritmos: a inteligência artificial já chegou – e dominou nossas vidas,Portuguese,https://veja.abril.com.br/cultura/algoritmos-a-inteligencia-artificial-ja-chegou-e-dominou-nossas-vidas/,text,,,,,,
,1-Jul-21,"Equality, Diversity & Inclusion, Utrecht University",Music recommenders show a strong gender bias,English,https://www.uu.nl/en/organisation/equality-diversity-inclusion/music-recommenders-show-a-strong-gender-bias,text,,,,,,
Elouise Hobbs,13-May-21,The Indiependent,Breaking The Algorithm To Fix Music's Gender Divide,English,https://www.indiependent.co.uk/breaking-the-algorithm-to-fix-musics-gender-divide/,text,,,,,,
Guilherme Ravache,6-May-21,UOL,"Algoritmo do Spotify privilegia músicos homens, diz pesquisa",Portuguese,https://www.uol.com.br/splash/colunas/guilherme-ravache/2021/05/06/algoritmodo-spotify-privilegia-musicos-homens-diz-pesquisa.htm,text,,,,,,
Mariola Dinarès,5-May-21,3cat,Confirmat: els algoritmes musicals també son masclistes,Catalan,https://www.3cat.cat/3cat/confirmat-els-algoritmes-musicals-tambe-son-masclistes/audio/1100562/,audio,,,,,,
Katia Dansoko Touré,3-May-21,Libération,Le streaming musical préfère les mecs,French,https://www.liberation.fr/lifestyle/le-streaming-musical-prefere-les-mecs-20210503_CLP5H7L2NJGFJEJOGGQIVMITDU/,text,,,,,,
,30-Apr-21,Outrage,Study finds gender bias in music recommendation algorithms,English,https://outragemag.com/study-finds-gender-bias-in-music-recommendation-algorithms/,text,,,,,,
Clément Arbrun,29-Apr-21,Terrafemina,Voilà pourquoi vous entendez peu de chanteuses sur les plateformes de streaming,French,https://www.terrafemina.com/article/streaming-voila-pourquoi-vous-entendez-peu-de-chanteuses-sur-les-plateformes_a358065/1,text,,,,,,
Juliette Thévenot,28-Apr-21,Slate.fr,Les algorithmes des plateformes de streaming musical mettraient plus en avant les artistes masculins,French,http://www.slate.fr/story/208088/sous-representation-femmes-algorithmes-plateformes-streaming-musical-deezer-spotify-apple#xtor=RSS-2,text,,,,,,
Yann Contegat,27-Apr-21,Daily Geek Show,"Les algorithmes musicaux recommandent beaucoup moins d'artistes féminines, selon cette étude",French,https://dailygeekshow.com/biais-algorithme-musique/,text,,,,,,
Alberto Iglesias Fraga,24-Apr-21,El Español,Música y sesgo de género: la inteligencia artificial amplifica la discriminación en el arte,Spanish,https://www.elespanol.com/invertia/disruptores-innovadores/innovadores/investigacion/20210427/musica-sesgo-genero-inteligencia-artificial-amplifica-discriminacion/576693083_0.html,text,,,,,,
,23-Apr-21,Technology Networks,Music Recommendation Algorithms May Have Built-In Gender Bias,English,https://www.technologynetworks.com/tn/news/music-recommendation-algorithms-may-have-built-in-gender-bias-348081,text,,,,,,
Anna Tisora and Èlia Gea,22-Apr-21,enderrock,El patriarcat també és als algoritmes de recomanació musical,Spanish,https://www.enderrock.cat/noticia/22639/patriarcat-tambe-es-algoritmes-recomanacio-musical,text,,,,,,
Devrupa Rakshit,22-Apr-21,The Swaddle,"Female Artists Are Less Likely to Feature in Music App Recommendations, Study Finds",English,https://theswaddle.com/female-artists-are-less-likely-to-feature-in-music-app-recommendations-study-finds/,text,,,,,,
Felicity Martin,21-Apr-21,DMY,"Streaming algorithms amplify gender bias, study suggests",English,https://dmy.co/news/streaming-algorithms-amplify-gender-bias-study-suggests,text,,,,,,
,21-Apr-21,E&T,Music recommendation algorithms show gender bias,English,https://eandt.theiet.org/content/articles/2021/04/music-recommendation-algorithms-filled-with-gender-bias-study-finds/,text,,,,,,
,21-Apr-21,La República,Un estudi de la UPF troba biaix de gènere en els algoritmes de recomanació musical,Catalan,https://www.larepublica.cat/minut-a-minut/un-estudi-de-la-upf-troba-biaix-de-genere-en-els-algoritmes-de-recomanacio-musical/,text,,,,,,
Vishwam Sankaran,21-Apr-21,The Independent,"Music recommendation algorithms increase gender gap by promoting fewer female artists, study suggests",English,https://www.independent.co.uk/life-style/gadgets-and-tech/music-recommendation-algorithms-gender-gap-b1834978.html,text,,,,,,
,20-Apr-21,neuroscience.com,A Study Finds Gender Bias in Music Recommendation Algorithms,English,https://neurosciencenews.com/gender-discrimination-music-algorithm-18272/?fbclid=IwAR0BSYfP0EcKa6D8-4NNKVyKSYxAtKw5U7MKHJVo_kCyMXqQT0buquzs0Js_aem_AUug_Go6LoKZYaYhbKqLz6uDSEbBrzcGVWKLAzfjnq77l2F1HW6uB1sQiGQqDSqixvZUqL8ROhLruvp3gm93kvH8,text,,,,,,
,20-Apr-21,4State.news,A study finds gender bias in music recommendation algorithms,English,https://4state.news/a-study-finds-gender-bias-in-music-recommendation-algorithms/,text,,,,,,
,17-Apr-21,Diari de Barcelona,Un estudi troba biaix de gènere en els algoritmes de recomanació musical,Catalan,https://www.diaridebarcelona.cat/-/estudi-troba-biaix-genere-algoritmes-recomanacio-musical,text,,,,,,
,16-Apr-21,Diari de Girona,Un estudi troba biaix de gènere en els algoritmes de recomanació musical,Catalan,https://www.diaridegirona.cat/accents/2021/04/16/estudi-troba-biaix-genere-els-48603467.html,text,,,,,,
,16-Apr-21,social.cat,Un estudi de la UPF troba biaix de gènere en els algoritmes de recomanació musical,Catalan,https://www.social.cat/noticia/14260/un-estudi-de-la-upf-troba-biaix-de-genere-en-els-algoritmes-de-recomanacio-musical,text,,,,,,
,15-Apr-21,Computable,El equilibrio de género en sistemas de recomendaciones musicales,Spanish,https://www.catalunyavanguardista.com/el-equilibrio-de-genero-en-sistemas-de-recomendaciones-musicales/,text,,,,,,
,15-Apr-21,Ibercampus,Hallan sesgo de género en los algoritmos de recomendación musical desde la UPF,Catalan,https://www.ibercampus.es/hallan-sesgo-de-genero-en-los-algoritmos-de-recomendacion-musical-desde-40952.htm,text,,,,,,
,15-Apr-21,NacióDigital,"Els algoritmes de plataformes musicals com Spotify o iTunes són masclistes, segons un estudi de la UPF",Catalan,https://www.naciodigital.cat/noticia/218732/algoritmes-plataformes-musicals-spotify-itunes-son-masclistes-segons-estudi-upf,text,,,,,,
,14-Apr-21,Computable,Algoritmes zangeres-onvriendelijk,Dutch,https://www.computable.nl/artikel/nieuws/maatschappij/7166553/250449/algoritmes-zangeres-onvriendelijk.html,text,,,,,,
Rose Heijnen,14-Apr-21,"NPO Radio 1, Focus",Algoritmes die muziek aanbevelen benadelen vrouwelijke artiesten,Dutch,https://www.nporadio1.nl/fragmenten/focus/9c26a592-fcf0-49ea-bf17-31571455299a/2021-04-14-algoritmes-die-muziek-aanbevelen-benadelen-vrouwelijke-artiesten,audio,,,,,,
,13-Apr-21,InqPOP! and INQUIRER.net,Study reveals sexist algorithm among music platforms favors male artists,English,https://pop.inquirer.net/108528/study-reveals-spotifys-sexist-algorithm-favors-male-artists,text,,,,,,
Fred Jacobs,12-Apr-21,Jacobs media strategies,Are Music Streaming Algorithms Sexist?,English,https://jacobsmedia.com/are-music-streaming-algorithms-sexist/,text,,,,,,
,12-Apr-21,The Star,Does your playlist only contain tracks by male artistes? Blame the algorithms,English,https://www.thestar.com.my/tech/tech-news/2021/04/12/does-your-playlist-only-contain-tracks-by-male-artistes-blame-the-algorithms,text,,,,,,
Jean-Yes Alric,11-Apr-21,Presse-Citron,Streaming musical: ces chercheurs veulent rendre les algorithmes plus équitables,French,https://www.presse-citron.net/streaming-musical-ces-chercheurs-veulent-rendre-les-algorithmes-plus-equitables/,text,,,,,,
,11-Apr-21,ETX Studio,Does your playlist only contain tracks by male artists? Blame the algorithms,English,https://technology.inquirer.net/109027/does-your-playlist-only-contain-tracks-by-male-artists-blame-the-algorithms,text,,,,,,
Katie Strick,9-Apr-21,Evening Standard,Let's hear it for the girls: 5 of the hottest female music artists to stream now,English,https://www.standard.co.uk/insider/london-hottest-best-female-music-artists-stream-spotify-youtube-b928077.html,text,,,,,,
,9-Apr-21,Free Malaysia Today (FMT),Algorithms to blame for male bias in music playlists,English,https://www.freemalaysiatoday.com/category/leisure/entertainment/2021/04/09/algorithms-to-blame-for-male-bias-in-music-playlists/,text,,,,,,
,8-Apr-21,LaDepeche.fr,Votre playlist ne contient que des titres d'artistes masculins? La faute aux algorithmes de recommandation,French,https://www.ladepeche.fr/2021/04/08/votre-playlist-ne-contient-que-des-titres-dartistes-masculins-la-faute-aux-algorithmes-de-recommandation-9476461.php,text,,,,,,
Gillian Tett,7-Apr-21,Financial Times,"Not OK, computer: music streaming's diversity problem",English,https://www.ft.com/content/fa53b5d6-0e79-4740-87ee-daaf8fc12212,text,,,,,,
,7-Apr-21,The Music Network,Streaming services more likely to recommend songs by male musicians [report],English,https://themusicnetwork.com/gender-bias-in-streaming-recommendations/,text,,,,,,
Jonathan Chadwick,6-Apr-21,Daily Mail and MailOnline,"Is Spotify's algorithm sexist? Streaming platform is more likely to recommend songs by male musicians than females, study reveals",English,https://www.dailymail.co.uk/sciencetech/article-9439931/Streaming-algorithm-likely-pick-music-male-artists.html,text,,,,,,
Ilaria Roncone,6-Apr-21,Giornalettisimo,L'algoritmo che ci suggerisce chi ascoltare in base ai nostri gusti su Spotify è sessista,Italian,https://www.giornalettismo.com/algoritmo-brani-spotify-sessista/,text,,,,,,
,6-Apr-21,India Times Post,Streaming music algorithm more likely to play male artists,English,https://indiatimespost.com/streaming-music-algorithm-more-likely-to-play-male-artists/,text,,,,,,
Hannah Sparks,6-Apr-21,New York Post,Streaming music algorithm more likely to play male artists,English,https://nypost.com/2021/04/06/streaming-music-algorithm-more-likely-to-play-male-artists/,text,,,,,,
Arthi Nachiappan,6-Apr-21,The Times,Music streaming platforms have sexism wired-in,English,https://www.thetimes.co.uk/article/music-streaming-platforms-have-sexism-wired-in-5j9m73qp7,text,,,,,,
Sofia Quaglia,4-Apr-21,Rolling Stone Italia,Ecco perché l’algoritmo delle app di streaming non indovina i tuoi gusti musicali,Italian,https://www.rollingstone.it/musica/ecco-perche-lalgoritmo-delle-app-di-streaming-non-indovina-i-tuoi-gusti-musicali/556644/,text,,,,,,
Manuel G. Pascual,2-Apr-21,El País,Los algoritmos afinan menos con el rock duro o el hip hop que con el pop comercial,Spanish,https://elpais.com/tecnologia/2021-04-01/los-algoritmos-afinan-menos-con-el-rock-duro-o-el-hip-hop-que-con-el-pop-comercial.html,text,,,,,,
,31-Mar-21,oe3.orf.at,Musik-Algorithmen tun sich mit Hip-Hop- und Hardrock schwer,German,https://oe3.orf.at/stories/3013340,text,,,,,,
Katyanna Quach,31-Mar-21,The Register,AI recommendations fail fans who like hard rock and hip hop⎯official science,English,https://www.theregister.com/2021/03/31/music_recommendations_rock_hip_hop/,text,,,,,,
,31-Mar-21,LA NACION,A los algoritmos les cuesta más sugerir música para fans de hip-hop o hard rock,Spanish,https://www.lanacion.com.ar/tecnologia/a-los-algoritmos-les-cuesta-mas-sugerir-musica-para-fans-de-hip-hop-o-hard-rock-nid31032021/,text,Argentinia,,,,,
Christine Bauer & Andrés Ferraro,30-Mar-21,The Conversation,"Music recommendation algorithms exclude female artists, but we can change that",English,https://theconversation.com/music-recommendation-algorithms-are-unfair-to-female-artists-but-we-can-change-that-158016,text,,,,,,
,30-Mar-21,České noviny,Studie: Hudební algoritmy špatně odhadují vkus posluchačů mimo střední proud,Czech,https://www.ceskenoviny.cz/zpravy/studie-hudebni-algoritmy-spatne-odhaduji-vkus-posluchacu-mimo-stredni-proud/2015128,text,,,,,,
,31-Mar-21,Oberösterreichisches Volksblatt,Musik-Algorithmen tun sich mit Hardrockern und Hiphop-Hörern schwer,German,https://volksblatt.at/kultur-medien/musik-algorithmen-tun-sich-mit-hardrockern-und-hiphop-hoerern-schwer-576721/,text,,,,,,
Mon Klein Douwel,30-Mar-21,De Volkskrant,Hardrock en hiphop komen er bekaaid af in de algoritmes van muziekdiensten,Dutch,https://www.volkskrant.nl/wetenschap/hardrock-en-hiphop-komen-er-bekaaid-af-in-de-algoritmes-van-muziekdiensten~bca4b8b6/,text,,,,,,
,30-Mar-21,SINC,Los algoritmos no dan con la tecla: cuesta más recomendar música para los oyentes de hip-hop o hard rock,Spanish,https://www.agenciasinc.es/Noticias/Los-algoritmos-no-dan-con-la-tecla-cuesta-mas-recomendar-musica-para-los-oyentes-de-hip-hop-o-hard-rock,text,,,,,,
,30-Mar-21,swissinfo.ch,Musik-Algorithmen tun sich mit Hardrockern und Hiphop-Hörern schwer,German,https://www.swissinfo.ch/ger/musik-algorithmen-tun-sich-mit-hardrockern-und-hiphop-hoerern-schwer/46490826,text,,,,,,
,30-Mar-21,suedostschweiz,Musik-Algorithmen tun sich mit Hardrockern und Hiphop-Hörern schwer,German,https://www.suedostschweiz.ch/wirtschaft/2021-03-30/musik-algorithmen-tun-sich-mit-hardrockern-und-hiphop-hoerern-schwer,text,,,,,,
,30-Mar-21,Blick,Musik-Algorithmen tun sich mit Hardrockern und Hiphop-Hörern schwer,German,https://www.blick.ch/wirtschaft/forscher-habens-getestet-musik-algorithmen-tun-sich-mit-hardrockern-und-hiphop-hoerern-schwer-id16428732.html,text,,,,,,
,30-Mar-21,science.ORF.at,Algorithmen treffen nicht jeden Geschmack,German,https://science.orf.at/stories/3205646,text,,,,,,
,30-Mar-21,Die Presse,Musik-Algorithmen tun sich mit Hardrock und Hiphop schwer,German,https://www.diepresse.com/5958878/musik-algorithmen-tun-sich-mit-hardrock-und-hiphop-schwer,text,,,,,,
,30-Mar-21,DER STANDARD,Musik-Algorithmen tun sich mit Hardrockern und Hip-Hop-Hörern schwer,German,https://www.derstandard.at/story/2000125459611/musik-algorithmen-tun-sich-mit-hardrockern-und-hiphop-hoerern-schwer,text,,,,,,
,30-Mar-21,APA,Musik-Algorithmen tun sich mit Hardrockern und Hiphop-Hörern schwer,German,https://science.apa.at/power-search/8748250632547389626,text,,,,,,
,29-Dec-20,ORF Burgenland Mahlzeit Burgenland,Christine Bauer (Wissenschaftlerin) zu Gast bei Silvia Scherleitner,German,,audio,,,,,,
,29-Dec-20,ORF Burgenland Mahlzeit Burgenland,Christine Bauer und Krautfleckerl,German,https://burgenland.orf.at/magazin/stories/3082537/,text,,20201229_mahlzeitburgenland.pdf,,,,
,28-Sep-20,LIWEST Blog,Christine Bauer: Musik hören mit System,German,https://www.liwest.at/liwest-blog/blog/portraits/empfehlungssysteme-fuer-musik,text,,,,,,
,21-Aug-20,Cooperation of LIWEST and dorf tv,"Topic: Wie wissen Online-Plattformen wie Spotify & Co, welche Musik ihren Nutzern gefällt?",German,https://www.dorftv.at/video/34030,video,Interviewer: Christian Naderer. Camera and cut: Roland Freinschlag,,https://www.youtube-nocookie.com/embed/A0vhyoXumtw,,,dorf tv
,July/August 2020,Die Burgenländerin,Die Top 66 Burgenländerinnen,German,../images/awards/20200701_dieburgenlaenderin_chb.pdf,text,"2020-06-26, pp 8-15",dieburgenlaenderin_voting-768x509.jpg,,https://issuu.com/magazinring/docs/burgenlaenderin_2020-06-26_2020_06/8,,
,1-Jul-20,LIWEST Kundenmagazin,Musik hören mit System,German,https://www.liwest.at/uploads/tx_liwestblaetterkatalog/LIWEST-Kundenmagazin_02_2020_web.pdf,text," Ausgabe Juli 2020, pp 1, 4-9, exclusive interview",20200724_liwest_cover-212x300.jpg,,https://issuu.com/liwest_admin/docs/liwest-kundenmagazin_02_2020_web,,
Hans Tesch,1-Apr-20,Burgenland Mitte,Die ganze Welt schaut auf sie!,German,https://www.burgenland-mitte.at/2020/04/die-ganze-welt-schaut-auf-sie/,text,,20200401_Burgenland-Mitte-April-2020-Nr.-321_seite16-212x300.jpg,,20200401_Burgenland-Mitte-April-2020-Nr.-321_seite16.pdf,,
Anna Masoner,September & October 2019,Ö1 Radiokolleg,Maschinenmusik,German,https://oe1.orf.at/programm/20190930/573343,audio,"On the topic of music and algorithms, and their impact on the music industry. I am among the experts interviewed for this program, with direct quotes in two of the four episodes.",,,,,
,8-Aug-19,Report,Mensch als Teil von KI,German,https://www2.report.at/telekom/15953-mensch-als-teil-von-ki,text,,,,,,
,27-Jun-19,Report,KI: Realität in der Auseinandersetzung,German,https://archiv.report.at/index.php/telekom/leben/item/94066-ki-realitaet-in-der-auseinandersetzung,text,,,,,,
,22-Jun-19,Vorarlberger Nachrichten,Länderunterschiede im Musikgeschmack,German,https://epaper.vn.at/kultur/2019/06/21/laenderunterschiede-im-musikgeschmack.vn,text,,,,,,
,21-Jun-19,APA,Linzer Forscher zeigen große Länderunterschiede im Musikgeschmack auf,German,https://science.apa.at/site/natur_und_technik/detail?key=SCI_20190621_SCI39351351649172790,text,,,,20190621_apa_plosone.pdf,,
,21-Jun-19,DER STANDARD,Linzer Forscher zeigen Länderunterschiede im Musikgeschmack auf,German,https://www.derstandard.at/story/2000105229715/linzer-forscher-zeigen-laenderunterschiede-im-musikgeschmack-auf,text,,20190621_derstandard_plosone.pdf,,,,
,21-Jun-19,futurezone,Linzer Forscher analysieren Musikgeschmack in verschieden Ländern,German,https://futurezone.at/science/linzer-forscher-analysieren-musikgeschmack-in-verschieden-laendern/400529719,text,,,,20190621_futurezone_plosone.pdf,,
